Place,Competitor,DOB,Nat,Score,Event List,Age,Thrower Class,Gender
304,Ana Camila PIRELLI CUBAS,30 JAN 1989,PAR,831,Javelin Throw,34.0,4th Class,Female
305,Fanny BOISSONNARD,08 JAN 2001,FRA,831,Javelin Throw,22.0,4th Class,Female
306,Lili STOYCHEVA,08 JAN 1998,BUL,830,Javelin Throw,25.0,4th Class,Female
307,Angelika ANTONIAK,29 MAY 2000,POL,830,Javelin Throw,22.0,4th Class,Female
308,Sayaka NISHIKAWA,21 NOV 2000,JPN,830,Javelin Throw,22.0,4th Class,Female
309,Paulina LIGARSKA,09 APR 1996,POL,827,Javelin Throw,27.0,4th Class,Female
310,Haruna IRIE,05 MAY 2004,JPN,827,Javelin Throw,19.0,4th Class,Female
311,Riko TERADA,24 AUG 2005,JPN,827,Javelin Throw,17.0,4th Class,Female
312,Camryn NEWTON-SMITH,27 APR 2000,AUS,826,Javelin Throw,23.0,4th Class,Female
313,Areli CARRARO,21 APR 1998,MEX,826,Javelin Throw,25.0,4th Class,Female
315,Chako TAKAHASHI,01 APR 2003,JPN,825,Javelin Throw,20.0,4th Class,Female
316,Karin IIDA,13 APR 2004,JPN,825,Javelin Throw,19.0,4th Class,Female
317,Kamilė KUNICKAITĖ,27 MAY 1997,LTU,824,Javelin Throw,25.0,4th Class,Female
318,Ronja KOIVISTO,13 SEP 2000,FIN,823,Javelin Throw,22.0,4th Class,Female
320,Eleni DIMA,20 MAR 2003,GRE,820,Javelin Throw,20.0,4th Class,Female
321,Kim Cara BRÜNGER,06 SEP 1998,GER,820,Javelin Throw,24.0,4th Class,Female
322,Elizabeth BAILEY,07 FEB 2003,USA,819,Javelin Throw,20.0,4th Class,Female
323,Kasumi SAKAMOTO,26 APR 2001,JPN,819,Javelin Throw,22.0,4th Class,Female
324,Kokoro KAWAI,25 SEP 2003,JPN,819,Javelin Throw,19.0,4th Class,Female
325,Riko SAKAKIBARA,02 MAY 1998,JPN,819,Javelin Throw,25.0,4th Class,Female
326,Lilly GERHARD,28 MAR 2003,GER,819,Javelin Throw,20.0,4th Class,Female
327,Gianna BOCHSLER,07 JAN 2001,SUI,819,Javelin Throw,22.0,4th Class,Female
328,Venuše ŽITNÁ,07 JUL 1998,CZE,818,Javelin Throw,24.0,4th Class,Female
329,Citli CEJA,30 APR 2001,MEX,816,Javelin Throw,22.0,4th Class,Female
330,Vår Eik LITLAND,21 MAY 2003,NOR,816,Javelin Throw,19.0,4th Class,Female
331,Natsumi NOMA,16 AUG 2002,JPN,816,Javelin Throw,20.0,4th Class,Female
334,Nako INUI,17 MAY 2005,JPN,814,Javelin Throw,17.0,4th Class,Female
335,Tamara SUŠA,11 FEB 1999,SRB,812,Javelin Throw,24.0,4th Class,Female
336,Mizuki NAKANO,06 DEC 1998,JPN,812,Javelin Throw,24.0,4th Class,Female
337,Mei NAKAYAMA,10 JUN 2003,JPN,812,Javelin Throw,19.0,4th Class,Female
338,Arndís Diljá ÓSKARSDÓTTIR,24 APR 2004,ISL,812,Javelin Throw,19.0,4th Class,Female
339,Kadi KAART,30 APR 1997,EST,812,Javelin Throw,26.0,4th Class,Female
340,Miia MAKKONEN,25 SEP 1994,FIN,811,Javelin Throw,28.0,4th Class,Female
341,Paulina CAZARES,12 MAR 2003,MEX,811,Javelin Throw,20.0,4th Class,Female
343,Yuki YAMASAKI,06 JUN 1995,JPN,810,Javelin Throw,27.0,4th Class,Female
344,Kateřina ŠŤASTNÁ,11 JAN 2001,CZE,808,Javelin Throw,22.0,4th Class,Female
347,Viivi RAATIKAINEN,10 MAY 2003,FIN,805,Javelin Throw,20.0,4th Class,Female
348,Chantelle CHIPPINDALL,17 OCT 2001,AUS,805,Javelin Throw,21.0,4th Class,Female
349,Moa HIGUCHI,06 APR 2003,JPN,805,Javelin Throw,20.0,4th Class,Female
350,Merja PERÄTALO,22 MAR 1996,FIN,803,Javelin Throw,27.0,4th Class,Female
351,Sofia PÖLKKY,19 JAN 2000,FIN,803,Javelin Throw,23.0,4th Class,Female
353,Yelena YERMOLINA,03 FEB 1989,RUS,802,Javelin Throw,34.0,4th Class,Female
355,Hana HABALOVÁ,05 MAY 1995,CZE,801,Javelin Throw,28.0,4th Class,Female
356,Iveta MOCHAROVÁ,24 MAY 1998,CZE,800,Javelin Throw,24.0,4th Class,Female
357,Marys A. PATTERSON,16 OCT 2001,CUB,800,Javelin Throw,21.0,4th Class,Female
358,Rino KATO,11 JUN 2002,JPN,800,Javelin Throw,20.0,4th Class,Female
359,Heidi LÄHDEMÄKI,08 JUL 1999,FIN,799,Javelin Throw,23.0,4th Class,Female
361,Stina JACOBSON,09 MAR 2000,SWE,798,Javelin Throw,23.0,4th Class,Female
363,Eunice KARLSSON,25 JUL 1998,SWE,797,Javelin Throw,24.0,4th Class,Female
365,Tilda BERNHULT,07 MAY 2004,SWE,797,"Javelin Throw,Javelin Throw ind.",19.0,4th Class,Female
366,Sharon TOAKO,12 OCT 1992,PNG,797,Javelin Throw,30.0,4th Class,Female
367,Kurumi NAGAI,18 FEB 2001,JPN,797,Javelin Throw,22.0,4th Class,Female
368,Hinata MORI,01 DEC 2005,JPN,796,Javelin Throw,17.0,4th Class,Female
370,Ami KAMETANI,12 MAY 2003,JPN,795,Javelin Throw,20.0,4th Class,Female
371,Hannah JOHNSON,14 JUN 1994,GBR,794,Javelin Throw,28.0,4th Class,Female
372,Isabel POSCH,28 FEB 2000,AUT,794,Javelin Throw,23.0,4th Class,Female
374,Veronique QUEDNAU,18 DEC 2003,GER,794,Javelin Throw,19.0,4th Class,Female
375,Iroha TANIYAMA,26 SEP 2005,JPN,794,Javelin Throw,17.0,4th Class,Female
376,Paula REDONDO,14 OCT 2004,ESP,793,Javelin Throw,18.0,4th Class,Female
377,Fuuna FURUKAWA,12 APR 2004,JPN,793,Javelin Throw,19.0,4th Class,Female
378,Minttu TURUNEN,17 SEP 2004,FIN,793,Javelin Throw,18.0,4th Class,Female
380,Saho NARITA,22 SEP 2006,JPN,792,Javelin Throw,16.0,4th Class,Female
381,Marine BAURAIN,01 MAY 1999,FRA,792,Javelin Throw,24.0,4th Class,Female
382,Hemamalini NEELAKANDAN,12 APR 2000,IND,791,Javelin Throw,23.0,4th Class,Female
383,Genet GALLI,19 DEC 2004,ITA,790,Javelin Throw,18.0,4th Class,Female
385,Laura VAL,13 OCT 2004,GER,789,Javelin Throw,18.0,4th Class,Female
386,Kirsten UMANS,30 AUG 1993,BEL,788,Javelin Throw,29.0,4th Class,Female
387,Alisia Adela PARUBA,08 OCT 2003,ROU,788,Javelin Throw,19.0,4th Class,Female
388,Jenni VUORI,24 JAN 1995,FIN,788,Javelin Throw,28.0,4th Class,Female
389,Karina BELL,17 DEC 2005,AUS,788,Javelin Throw,17.0,4th Class,Female
392,Sofie HAMMAR,15 FEB 1995,SWE,788,Javelin Throw,28.0,4th Class,Female
393,Laura MARTINEZ,20 MAY 2003,ESP,788,Javelin Throw,19.0,4th Class,Female
394,Karla SCHÄRFE,05 FEB 2003,DEN,786,Javelin Throw,20.0,4th Class,Female
395,Ki Sum NG,24 SEP 1996,HKG,786,Javelin Throw,26.0,4th Class,Female
396,Janice MAY,25 FEB 2002,FRA,786,Javelin Throw,21.0,4th Class,Female
397,Pilke KÖSSI,27 NOV 2001,FIN,785,Javelin Throw,21.0,4th Class,Female
399,Sanni NOKELAINEN,10 FEB 1999,FIN,785,Javelin Throw,24.0,4th Class,Female
400,Laura SCHÜTZ,23 MAR 2003,GER,785,Javelin Throw,20.0,4th Class,Female
401,Anastasia NTRAGKOMIROVA,22 JAN 2003,GRE,784,Javelin Throw,20.0,5th Class,Female
402,Natalia JASINSKA,03 OCT 2004,POL,784,Javelin Throw,18.0,5th Class,Female
403,Kyoko SUZUKI,28 JUN 2005,JPN,784,Javelin Throw,17.0,5th Class,Female
404,Beata SKRABA,20 JUN 1988,POL,784,Javelin Throw,34.0,5th Class,Female
406,Magdaléna HELLMAYEROVÁ,09 FEB 2005,CZE,783,Javelin Throw,18.0,5th Class,Female
407,Medine AMOCA,16 APR 2004,TUR,783,Javelin Throw,19.0,5th Class,Female
408,Antonia FRANZKE,26 JAN 2004,GER,783,Javelin Throw,19.0,5th Class,Female
410,Elise Hoel ULSETH,23 DEC 1999,NOR,782,Javelin Throw,23.0,5th Class,Female
411,Jennifer BUCKEL,18 MAR 2000,GER,782,Javelin Throw,23.0,5th Class,Female
414,Amanda RASK,02 DEC 2002,SWE,782,Javelin Throw,20.0,5th Class,Female
415,Hana FUJITA,27 SEP 2005,JPN,781,Javelin Throw,17.0,5th Class,Female
416,Cecile BOGLIOLO,10 SEP 2002,FRA,781,Javelin Throw,20.0,5th Class,Female
417,Sarah DEQUINAN,22 DEC 1992,PHI,781,Javelin Throw,30.0,5th Class,Female
419,Ulrike SCHMIDT,22 MAY 2004,GER,780,Javelin Throw,18.0,5th Class,Female
420,Elva VESTARTA,08 DEC 2003,LAT,780,Javelin Throw,19.0,5th Class,Female
421,Yuliya LOBAN,07 AUG 2000,UKR,780,Javelin Throw,22.0,5th Class,Female
422,Sydney HOLLERING,03 AUG 2001,GER,779,Javelin Throw,21.0,5th Class,Female
423,Lydia BOLL,01 DEC 1999,SUI,779,Javelin Throw,23.0,5th Class,Female
425,Manaka KIKUCHI,08 MAY 2001,JPN,778,Javelin Throw,22.0,5th Class,Female
427,Žana SOVDAT,08 JUN 2004,SLO,776,Javelin Throw,18.0,5th Class,Female
429,Violetta OVCHINNIKOVA,25 FEB 2004,RUS,775,Javelin Throw,19.0,5th Class,Female
432,Angel RICHMORE,30 APR 2001,SWE,774,Javelin Throw,22.0,5th Class,Female
435,Atsuki KUBO,18 MAR 2003,JPN,774,Javelin Throw,20.0,5th Class,Female
436,Nanaka KAJIKI,07 DEC 2000,JPN,773,Javelin Throw,22.0,5th Class,Female
438,Mahiro SUZUKI,13 DEC 2000,JPN,773,Javelin Throw,22.0,5th Class,Female
439,Mayu ONO,27 NOV 2005,JPN,773,Javelin Throw,17.0,5th Class,Female
440,Sabrina REUSCH,17 NOV 1998,GER,773,Javelin Throw,24.0,5th Class,Female
443,Jae-eun KWON,23 AUG 2001,KOR,772,Javelin Throw,21.0,5th Class,Female
444,Imogen BEARD,03 MAY 1998,NED,771,Javelin Throw,25.0,5th Class,Female
445,Elizabeth MORLAND,03 MAR 1998,IRL,771,Javelin Throw,25.0,5th Class,Female
446,Marion BOUIN,26 OCT 2003,FRA,771,Javelin Throw,19.0,5th Class,Female
447,Mio HOSOGAI,26 APR 2005,JPN,771,Javelin Throw,18.0,5th Class,Female
448,Vanessa Valentina ORIAKU,25 MAR 2005,ROU,770,Javelin Throw,18.0,5th Class,Female
449,Eva DURAND,18 JUL 2004,GBR,770,Javelin Throw,18.0,5th Class,Female
452,Tika SUGIMOTO,15 SEP 1998,JPN,770,Javelin Throw,24.0,5th Class,Female
453,Thaila WILSON,29 MAY 2001,JAM,769,Javelin Throw,21.0,5th Class,Female
454,Camille VAN DE BRUG,20 SEP 2000,NED,769,Javelin Throw,22.0,5th Class,Female
455,Melanie RICHARD,17 JAN 1997,SUI,769,Javelin Throw,26.0,5th Class,Female
457,Karolína KREJČÍ,20 AUG 2003,CZE,768,Javelin Throw,19.0,5th Class,Female
458,Hana HÁJKOVÁ,06 APR 2002,CZE,768,Javelin Throw,21.0,5th Class,Female
460,Rebecca LJUNG,07 FEB 1996,FIN,767,Javelin Throw,27.0,5th Class,Female
461,Marta FARIA,30 JUL 2004,POR,767,Javelin Throw,18.0,5th Class,Female
462,Taylor KESNER,11 NOV 2002,USA,766,Javelin Throw,20.0,5th Class,Female
463,Yekaterina FEDOTOVA,28 FEB 2005,RUS,766,Javelin Throw,18.0,5th Class,Female
466,Michaela TREGLEROVÁ,14 SEP 1999,CZE,766,Javelin Throw,23.0,5th Class,Female
467,Mathilde REY,29 MAR 2000,SUI,765,Javelin Throw,23.0,5th Class,Female
469,Claudia LEGGE,20 SEP 2004,AUS,765,Javelin Throw,18.0,5th Class,Female
472,Veera MATINTALO,23 SEP 2000,FIN,764,Javelin Throw,22.0,5th Class,Female
473,Jennifer VOGT,27 MAR 1985,GER,763,Javelin Throw,38.0,5th Class,Female
475,Tihiro ASADA,01 DEC 2005,JPN,762,Javelin Throw,17.0,5th Class,Female
476,Tina VAUPOT,14 JAN 1997,SLO,762,Javelin Throw,26.0,5th Class,Female
477,Kano SHIRAISHI,22 MAR 2003,JPN,762,Javelin Throw,20.0,5th Class,Female
479,Myke VAN DE WIEL,04 JUN 1997,NED,761,Javelin Throw,25.0,5th Class,Female
480,Kayla IVEN,20 FEB 2002,BEL,760,Javelin Throw,21.0,5th Class,Female
481,Eloise MEAKINS,26 JAN 1993,GBR,760,Javelin Throw,30.0,5th Class,Female
482,Olivia MORGAN,22 JUN 2000,USA,759,Javelin Throw,22.0,5th Class,Female
483,Eun-hwan YOON,18 AUG 2006,KOR,759,Javelin Throw,16.0,5th Class,Female
484,Nina REINCKE,24 FEB 2004,GER,758,Javelin Throw,19.0,5th Class,Female
487,Delia FRAVEZZI,06 SEP 1998,ITA,758,Javelin Throw,24.0,5th Class,Female
488,Eva REMEŠOVÁ,17 MAR 2004,CZE,758,Javelin Throw,19.0,5th Class,Female
490,Lorena Emanuelle GARCIA,26 FEB 2003,BRA,757,Javelin Throw,20.0,5th Class,Female
491,Furi KATSUMI,04 APR 2005,JPN,756,Javelin Throw,18.0,5th Class,Female
492,Ludovica GIANNURSINI,05 FEB 2002,ITA,756,Javelin Throw,21.0,5th Class,Female
493,Agathe FERRARI,05 FEB 2002,FRA,756,Javelin Throw,21.0,5th Class,Female
494,Wakana YAMASHITA,30 JAN 2003,JPN,755,Javelin Throw,20.0,5th Class,Female
496,Yu-bin CHOI,06 NOV 2005,KOR,755,Javelin Throw,17.0,5th Class,Female
497,Saga KURUNMÄKI,05 JAN 2003,FIN,755,Javelin Throw,20.0,5th Class,Female
498,Yasmin WILKE,05 JAN 2003,GER,754,Javelin Throw,20.0,5th Class,Female
499,Júlia HANULIAKOVÁ,16 MAY 2000,SVK,754,Javelin Throw,22.0,5th Class,Female
500,Wiebke OELGARDT,29 JUL 2001,GER,754,Javelin Throw,21.0,5th Class,Female
