Place,Competitor,DOB,Nat,Score,Event List,Age,Thrower Class,Gender
300,Matteo MASETTI,06 SEP 1996,ITA,911,Javelin Throw,26.0,3rd Class,Male
301,Abel ALMEIDA,16 AUG 2002,CUB,911,Javelin Throw,20.0,4th Class,Male
302,Collin BURKHART,26 MAY 2003,USA,910,Javelin Throw,19.0,4th Class,Male
303,Petr HRON,01 MAR 2002,CZE,910,Javelin Throw,21.0,4th Class,Male
304,Filip KAPLAN,17 JAN 2001,CZE,910,Javelin Throw,22.0,4th Class,Male
307,Tzu-Yuan WANG,14 DEC 2004,TPE,907,Javelin Throw,18.0,4th Class,Male
308,Suguru FUKUOKA,30 APR 2000,JPN,904,Javelin Throw,23.0,4th Class,Male
309,Simone CUCINIELLO,09 MAY 2003,ITA,904,Javelin Throw,20.0,4th Class,Male
310,Remi ROUGETET,08 DEC 2001,FRA,904,Javelin Throw,21.0,4th Class,Male
311,Jun-seok JEONG,07 MAR 2005,KOR,903,Javelin Throw,18.0,4th Class,Male
312,Mostafa Nik KHAH,08 NOV 1990,IRI,903,Javelin Throw,32.0,4th Class,Male
313,Marius RUDZEVIČIUS,12 MAR 2003,LTU,903,Javelin Throw,20.0,4th Class,Male
314,Nickolas COFFEY,01 JAN 2002,USA,901,Javelin Throw,21.0,4th Class,Male
316,Lorenzo BRUSCHI,23 AUG 1998,ITA,901,Javelin Throw,24.0,4th Class,Male
317,Leon MENTEN,26 APR 2003,BEL,901,Javelin Throw,20.0,4th Class,Male
318,Ryan MITCHELL,29 JUN 2003,AUS,900,Javelin Throw,19.0,4th Class,Male
320,Artis ČAKŠS,25 JAN 2002,LAT,899,Javelin Throw,21.0,4th Class,Male
321,Kaito MAKINO,03 FEB 2000,JPN,899,Javelin Throw,23.0,4th Class,Male
322,Jordi SANCHEZ FERNANDEZ,09 AUG 1985,ESP,899,Javelin Throw,37.0,4th Class,Male
323,Nathan PROUST,10 JUN 2004,FRA,899,Javelin Throw,18.0,4th Class,Male
324,Reno YUKAWA,08 JUL 2003,JPN,898,Javelin Throw,19.0,4th Class,Male
325,Haddi EL SHORBAGY,18 AUG 2004,AUS,898,Javelin Throw,18.0,4th Class,Male
326,Joonas OKSANEN,17 JAN 1995,FIN,898,Javelin Throw,28.0,4th Class,Male
327,Jiankuan MA,20 NOV 2004,CHN,898,Javelin Throw,18.0,4th Class,Male
328,Aryan PADARUTH,09 OCT 2004,GBR,898,Javelin Throw,18.0,4th Class,Male
330,Jonas DE BUSSCHER,18 AUG 1996,BEL,896,Javelin Throw,26.0,4th Class,Male
332,Jonasz MERTKA,29 MAY 1999,POL,895,Javelin Throw,23.0,4th Class,Male
333,Kosei ASADA,05 OCT 2002,JPN,895,Javelin Throw,20.0,4th Class,Male
334,Ping-Shen WU,12 OCT 2004,TPE,895,Javelin Throw,18.0,4th Class,Male
335,Jyunya MURAYAMA,16 OCT 2001,JPN,895,Javelin Throw,21.0,4th Class,Male
336,Muhammet RAŞIT,18 MAR 2002,TUR,894,Javelin Throw,21.0,4th Class,Male
337,Finn ANTELMANN,21 JAN 2003,SUI,893,Javelin Throw,20.0,4th Class,Male
338,Takaaki SAKAKIMA,15 JAN 1999,JPN,892,Javelin Throw,24.0,4th Class,Male
339,Tomoaki MORIKI,20 NOV 2000,JPN,891,Javelin Throw,22.0,4th Class,Male
340,Zaavan RICHARDS,21 APR 1995,JAM,891,Javelin Throw,28.0,4th Class,Male
341,Genki HIROTA,14 NOV 2000,JPN,891,Javelin Throw,22.0,4th Class,Male
342,Quentin STOUPY,02 DEC 1999,FRA,891,Javelin Throw,23.0,4th Class,Male
343,Vili VALTONEN,13 NOV 2000,FIN,891,Javelin Throw,22.0,4th Class,Male
344,Jie ZHANG,20 JAN 2004,CHN,891,Javelin Throw,19.0,4th Class,Male
345,Jinto DEJI,04 OCT 2003,JPN,891,Javelin Throw,19.0,4th Class,Male
346,Donny TUIMASEVE,17 APR 1999,SAM,890,Javelin Throw,24.0,4th Class,Male
347,Se-heyom KANG,16 JUL 1999,KOR,890,Javelin Throw,23.0,4th Class,Male
348,Hiroto TANIGUCHI,19 OCT 2005,JPN,890,Javelin Throw,17.0,4th Class,Male
349,Hector ARAGUES,04 JAN 1995,ESP,890,Javelin Throw,28.0,4th Class,Male
350,Tadashi NAKAMATSU,08 MAY 2002,JPN,889,Javelin Throw,21.0,4th Class,Male
351,Matthias LASCH,07 SEP 2004,AUT,887,Javelin Throw,18.0,4th Class,Male
352,Masato KODAIRA,27 OCT 2003,JPN,886,Javelin Throw,19.0,4th Class,Male
353,Lauri WUORENRINNE,08 APR 2003,FIN,886,Javelin Throw,20.0,4th Class,Male
354,Jose SANTANA,25 FEB 2003,PUR,886,Javelin Throw,20.0,4th Class,Male
355,Yusaku IWAO,12 APR 2002,JPN,885,Javelin Throw,21.0,4th Class,Male
357,Francisco FERNANDES,01 JUN 1996,POR,885,Javelin Throw,26.0,4th Class,Male
358,Leevi LINDI,11 DEC 1998,FIN,885,Javelin Throw,24.0,4th Class,Male
359,Yuhei MURASAWA,30 APR 1996,JPN,884,Javelin Throw,27.0,4th Class,Male
360,Mutsuki NAKAYAMA,29 JUN 1994,JPN,883,Javelin Throw,28.0,4th Class,Male
361,Gavin JOHNSON-ASSOON,19 DEC 1982,GBR,883,Javelin Throw,40.0,4th Class,Male
362,Mael DILASSER,23 SEP 2004,FRA,883,Javelin Throw,18.0,4th Class,Male
363,Lorenzo BERTOCCHI,02 AUG 2001,ITA,882,Javelin Throw,21.0,4th Class,Male
364,Nikola ROSIĆ,04 JUN 2002,SRB,882,Javelin Throw,20.0,4th Class,Male
365,Jonathan BELL,20 NOV 2000,AUS,882,Javelin Throw,22.0,4th Class,Male
366,Koki TSUKAZAKI,13 DEC 2001,JPN,881,Javelin Throw,21.0,4th Class,Male
367,Samarjeet SINGH,07 NOV 1988,IND,881,Javelin Throw,34.0,4th Class,Male
368,Chase TARR,07 MAY 1999,USA,881,Javelin Throw,24.0,4th Class,Male
369,Sota TAKEMURA,09 JUN 2003,JPN,881,Javelin Throw,19.0,4th Class,Male
370,Shogo NAKAO,29 JAN 1993,JPN,881,Javelin Throw,30.0,4th Class,Male
371,Adam WIENER,21 JUL 2000,AUT,880,Javelin Throw,22.0,4th Class,Male
373,Albert OTTANDER,01 JAN 2000,SWE,878,Javelin Throw,23.0,4th Class,Male
377,Hyoma TOMONO,19 JUN 2000,JPN,876,Javelin Throw,22.0,4th Class,Male
378,Krešimir GALIĆ,02 JUN 2003,CRO,876,Javelin Throw,19.0,4th Class,Male
379,Daniel THRANA,17 OCT 2002,NOR,875,Javelin Throw,20.0,4th Class,Male
380,Atsuto KAWACHI,01 MAR 1999,JPN,874,Javelin Throw,24.0,4th Class,Male
381,Christian PAYNTER,23 APR 1997,AUS,874,Javelin Throw,26.0,4th Class,Male
382,Olle HÜBERT,22 MAY 2003,SWE,873,Javelin Throw,19.0,4th Class,Male
383,Ariel ATIAS,09 MAY 1999,ISR,873,Javelin Throw,24.0,4th Class,Male
384,Joss FOOT,22 FEB 2000,GBR,873,Javelin Throw,23.0,4th Class,Male
385,Koki HISADA,29 MAY 2000,JPN,872,Javelin Throw,22.0,4th Class,Male
386,Baolong HUO,03 DEC 2001,CHN,872,Javelin Throw,21.0,4th Class,Male
387,Máté ADAME,09 AUG 1994,HUN,872,Javelin Throw,28.0,4th Class,Male
390,Marcus HENRIKSEN,07 NOV 2002,NOR,871,Javelin Throw,20.0,4th Class,Male
391,Jan jakub ČÁP,12 JUL 2004,CZE,869,Javelin Throw,18.0,4th Class,Male
392,Maciej TOPOLEWSKI,28 APR 1995,POL,869,Javelin Throw,28.0,4th Class,Male
393,Duncan ROBERTSON,06 MAR 2003,RSA,869,Javelin Throw,20.0,4th Class,Male
394,Norberto FONTANA,12 AUG 1998,ITA,868,Javelin Throw,24.0,4th Class,Male
395,João FERNANDES,30 APR 2005,POR,868,Javelin Throw,18.0,4th Class,Male
397,Simone BONFANTI,24 AUG 2000,ITA,868,Javelin Throw,22.0,4th Class,Male
399,Mário MARQUES,19 JUN 1993,POR,867,Javelin Throw,29.0,4th Class,Male
400,Ali SOULTOINI,12 JUN 1979,FRA,867,Javelin Throw,43.0,4th Class,Male
402,Lauro HERNANDEZ,06 JUN 2001,MEX,867,Javelin Throw,21.0,5th Class,Male
404,Markus ROBBERTS,07 APR 2000,AUS,865,Javelin Throw,23.0,5th Class,Male
405,Reuben BOOYSEN,01 DEC 2003,RSA,865,Javelin Throw,19.0,5th Class,Male
406,Raffaele LETTERA,15 JAN 2003,ITA,864,Javelin Throw,20.0,5th Class,Male
407,Arthur DUDIT,11 NOV 1994,FRA,864,Javelin Throw,28.0,5th Class,Male
409,Tiago APERTA,15 JAN 1992,POR,863,Javelin Throw,31.0,5th Class,Male
411,Yosuke KOTSUKA,09 DEC 2002,JPN,862,Javelin Throw,20.0,5th Class,Male
412,Jett KINDER,04 JUL 2001,USA,860,Javelin Throw,21.0,5th Class,Male
413,Nick HOWE,17 NOV 1989,USA,860,Javelin Throw,33.0,5th Class,Male
414,Elias NILSEN,19 JUL 2001,NOR,859,Javelin Throw,21.0,5th Class,Male
415,Borna KRAJINA,20 JUL 2003,CRO,859,Javelin Throw,19.0,5th Class,Male
416,Jakob Gal BLATNIK,02 OCT 2003,SLO,859,Javelin Throw,19.0,5th Class,Male
417,Leikel H. CABRERA,30 NOV 2004,CUB,858,Javelin Throw,18.0,5th Class,Male
418,Viktor ERTELT,21 AUG 2001,GER,857,Javelin Throw,21.0,5th Class,Male
420,Florian WALTHER,01 MAR 2000,GER,857,Javelin Throw,23.0,5th Class,Male
421,Tao JIN,21 MAR 2005,CHN,856,Javelin Throw,18.0,5th Class,Male
422,Hiroki NIINOU,04 JUN 2002,JPN,856,Javelin Throw,20.0,5th Class,Male
425,Julius HEIDELBERG,11 JUL 2001,GER,856,Javelin Throw,21.0,5th Class,Male
426,Kota TAKANO,08 SEP 2002,JPN,855,Javelin Throw,20.0,5th Class,Male
428,Hiroki SAKAKIBARA,22 JUN 1990,JPN,855,Javelin Throw,32.0,5th Class,Male
429,Ken WATANABE,22 AUG 2001,JPN,855,Javelin Throw,21.0,5th Class,Male
430,Jared NEIGHBOURS,14 FEB 2000,NZL,854,Javelin Throw,23.0,5th Class,Male
431,Oleg BRASLAVSKIY,02 OCT 2004,RUS,854,Javelin Throw,18.0,5th Class,Male
432,Bram VAN DER REYSEN,16 AUG 1998,BEL,854,Javelin Throw,24.0,5th Class,Male
433,Mees PRINSEN,14 OCT 2001,NED,853,Javelin Throw,21.0,5th Class,Male
434,Ren TAKASUGA,10 JUN 2000,JPN,853,Javelin Throw,22.0,5th Class,Male
435,Sogo UEMURA,24 MAY 2002,JPN,853,Javelin Throw,20.0,5th Class,Male
437,Hodei OYANGUREN,20 JAN 1999,ESP,853,Javelin Throw,24.0,5th Class,Male
438,Matīss KAUDZE,27 MAR 2002,LAT,852,Javelin Throw,21.0,5th Class,Male
439,Lucio Claudio VISCA,23 SEP 2005,ITA,852,Javelin Throw,17.0,5th Class,Male
440,Tsuyoshi SAWADA,17 AUG 1996,JPN,850,Javelin Throw,26.0,5th Class,Male
441,Mauricio DE BRITO FILGUEIRAS,16 SEP 1994,BRA,849,Javelin Throw,28.0,5th Class,Male
442,Righardt STANDER,21 MAY 2004,RSA,849,Javelin Throw,18.0,5th Class,Male
443,Masaaki MICHIUE,17 DEC 1994,JPN,848,Javelin Throw,28.0,5th Class,Male
444,Taiga YOKOI,24 APR 2003,JPN,848,Javelin Throw,20.0,5th Class,Male
445,Vincent VAN DEN BOSCH,30 JUN 1989,BEL,848,Javelin Throw,33.0,5th Class,Male
447,Juha KARJUNEN,06 AUG 2003,FIN,847,Javelin Throw,19.0,5th Class,Male
448,Shion AZUMA,02 APR 2003,JPN,847,Javelin Throw,20.0,5th Class,Male
449,Maxime FRERET,13 JUL 1998,FRA,846,Javelin Throw,24.0,5th Class,Male
451,Marc ALIQUE,30 SEP 1996,ESP,845,Javelin Throw,26.0,5th Class,Male
452,Rikuto SUZUKI,20 NOV 2003,JPN,845,Javelin Throw,19.0,5th Class,Male
453,Ahti PEDER,29 AUG 1976,EST,845,Javelin Throw,46.0,5th Class,Male
454,Amine LABDI,23 AUG 2000,GER,845,Javelin Throw,22.0,5th Class,Male
456,Clement RIEUX,23 SEP 1996,FRA,843,Javelin Throw,26.0,5th Class,Male
457,Arata YAKUSHIJI,16 APR 2004,JPN,842,Javelin Throw,19.0,5th Class,Male
460,Kazuki OE,09 MAY 1996,JPN,841,Javelin Throw,27.0,5th Class,Male
461,Kaede TAKAHASHI,03 NOV 2001,JPN,841,Javelin Throw,21.0,5th Class,Male
463,Jose Fernando FERREIRA SANTANA,27 MAR 1999,BRA,840,Javelin Throw,24.0,5th Class,Male
464,Giacomo MEDEOSSI,07 JUN 1997,ITA,840,Javelin Throw,25.0,5th Class,Male
465,Konrad KRUSCHE,29 MAR 2001,POL,840,Javelin Throw,22.0,5th Class,Male
466,Stellan BACK,19 MAY 1975,SWE,840,Javelin Throw,47.0,5th Class,Male
467,Aris-Nikolaos PERISTERIS,02 JAN 1998,GRE,839,Javelin Throw,25.0,5th Class,Male
468,Haotian HU,16 NOV 2002,CHN,839,Javelin Throw,20.0,5th Class,Male
470,Kippei YOSHIMURA,09 JAN 2002,JPN,839,Javelin Throw,21.0,5th Class,Male
471,Antti VORNANEN,23 AUG 2000,FIN,838,Javelin Throw,22.0,5th Class,Male
472,Kakeru NAKAMURA,07 AUG 2002,JPN,838,Javelin Throw,20.0,5th Class,Male
473,Baptiste SAVARY,02 JAN 1995,FRA,838,Javelin Throw,28.0,5th Class,Male
474,Tommi Aslaksrud PASANEN,07 FEB 2004,NOR,837,Javelin Throw,19.0,5th Class,Male
475,Tuomas NÄRHI,29 NOV 2004,FIN,836,Javelin Throw,18.0,5th Class,Male
476,Jurgis DŽIAUGYS,18 JAN 2000,LTU,836,Javelin Throw,23.0,5th Class,Male
477,Kosuke SEINO,20 AUG 2004,JPN,835,Javelin Throw,18.0,5th Class,Male
478,Hubert GOELLER,28 JAN 1977,ITA,834,Javelin Throw,46.0,5th Class,Male
479,Andrey MARINOVICH,17 SEP 2000,BLR,833,Javelin Throw,22.0,5th Class,Male
480,Nikola BREKOVIĆ,08 JUN 1996,SRB,832,Javelin Throw,26.0,5th Class,Male
481,Lebron JAMES,27 JAN 2005,TTO,832,Javelin Throw,18.0,5th Class,Male
485,Nicolas YOYO,24 DEC 1991,FRA,831,Javelin Throw,31.0,5th Class,Male
486,Redford CURTIS,25 OCT 1996,GBR,830,Javelin Throw,26.0,5th Class,Male
487,Adam Sebastian HELCELET,27 OCT 1991,CZE,830,Javelin Throw,31.0,5th Class,Male
488,Hiroto KATAYAMA,24 JUL 2002,JPN,830,Javelin Throw,20.0,5th Class,Male
489,Kosuke NAKANISHI,01 MAR 2003,JPN,830,Javelin Throw,20.0,5th Class,Male
491,Sebastien AUBERT,17 SEP 1997,FRA,830,Javelin Throw,25.0,5th Class,Male
492,Jhon Louis GARCIA DE JESUS,21 JUL 1999,ESP,829,Javelin Throw,23.0,5th Class,Male
493,David PROSKE,22 MAR 2004,CZE,829,Javelin Throw,19.0,5th Class,Male
494,Otto HIIVOLA,28 JUL 2004,FIN,829,Javelin Throw,18.0,5th Class,Male
495,Szabolcs NÉMETHY,13 FEB 2003,HUN,828,Javelin Throw,20.0,5th Class,Male
496,Tomonori MORISAWA,14 DEC 2005,JPN,826,Javelin Throw,17.0,5th Class,Male
497,Thibaud DUTREY,13 FEB 2000,FRA,826,Javelin Throw,23.0,5th Class,Male
498,Kazuhisa MATSUSHIMA,27 FEB 2001,JPN,826,Javelin Throw,22.0,5th Class,Male
499,Shota KOMATSU,11 OCT 2002,JPN,826,Javelin Throw,20.0,5th Class,Male
500,Martin JANCSIK,06 JAN 2004,HUN,826,Javelin Throw,19.0,5th Class,Male
1,Kara WINGER,10 APR 1986,USA,1382,Javelin Throw,37.0,1st Class,Female
2,Kelsey-Lee BARBER,20 SEP 1991,AUS,1367,Javelin Throw,31.0,1st Class,Female
3,Haruka KITAGUCHI,16 MAR 1998,JPN,1357,Javelin Throw,25.0,1st Class,Female
4,Mackenzie LITTLE,22 DEC 1996,AUS,1294,Javelin Throw,26.0,1st Class,Female
5,Elina TZENGKO,02 SEP 2002,GRE,1269,Javelin Throw,20.0,1st Class,Female
6,Līna MŪZE,04 DEC 1992,LAT,1254,Javelin Throw,30.0,1st Class,Female
7,Liveta JASIŪNAITĖ,26 JUL 1994,LTU,1228,Javelin Throw,28.0,1st Class,Female
8,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1225,Javelin Throw,41.0,1st Class,Female
9,Adriana VILAGOŠ,02 JAN 2004,SRB,1223,Javelin Throw,19.0,1st Class,Female
10,Annu RANI,29 AUG 1992,IND,1209,Javelin Throw,30.0,1st Class,Female
11,Nikola OGRODNÍKOVÁ,18 AUG 1990,CZE,1208,Javelin Throw,32.0,1st Class,Female
12,Elizabeth GLEADLE,05 DEC 1988,CAN,1207,Javelin Throw,34.0,1st Class,Female
13,Tatsiana KHALADOVICH,21 JUN 1991,BLR,1195,Javelin Throw,31.0,1st Class,Female
14,Yulenmis AGUILAR,03 AUG 1996,CUB,1184,Javelin Throw,26.0,1st Class,Female
15,Shiying LIU,24 SEP 1993,CHN,1177,Javelin Throw,29.0,1st Class,Female
16,Flor Denis RUIZ HURTADO,29 JAN 1991,COL,1177,Javelin Throw,32.0,1st Class,Female
17,Tori PEETERS,17 MAY 1994,NZL,1172,Javelin Throw,28.0,1st Class,Female
18,Jo-Ane VAN DYK,03 OCT 1997,RSA,1167,Javelin Throw,25.0,1st Class,Female
19,Christin HUSSONG,17 MAR 1994,GER,1167,Javelin Throw,29.0,1st Class,Female
20,Ariana INCE,14 MAR 1989,USA,1166,Javelin Throw,34.0,1st Class,Female
21,Jucilene Sales DE LIMA,14 SEP 1990,BRA,1160,Javelin Throw,32.0,1st Class,Female
22,Sara KOLAK,22 JUN 1995,CRO,1151,Javelin Throw,27.0,1st Class,Female
23,Juleisy ANGULO,02 JAN 2001,ECU,1150,Javelin Throw,22.0,1st Class,Female
24,Réka SZILÁGYI,19 JAN 1996,HUN,1145,Javelin Throw,27.0,1st Class,Female
25,Victoria HUDSON,28 MAY 1996,AUT,1138,Javelin Throw,26.0,1st Class,Female
26,Sae TAKEMOTO,23 NOV 1999,JPN,1133,Javelin Throw,23.0,1st Class,Female
27,Coralys ORTIZ,16 APR 1985,PUR,1129,Javelin Throw,38.0,1st Class,Female
28,Annika Marie FUCHS,29 APR 1997,GER,1127,Javelin Throw,26.0,1st Class,Female
29,Marina SAITO,15 OCT 1995,JPN,1125,Javelin Throw,27.0,1st Class,Female
30,Nikol TABAČKOVÁ,24 JAN 1998,CZE,1124,Javelin Throw,25.0,1st Class,Female
31,Vera MARKARYAN,25 FEB 1989,RUS,1105,Javelin Throw,34.0,1st Class,Female
32,Martina RATEJ,02 NOV 1981,SLO,1102,Javelin Throw,41.0,1st Class,Female
33,Momone UEDA,27 JUN 1999,JPN,1101,Javelin Throw,23.0,1st Class,Female
34,Mahiro OSA,26 NOV 1999,JPN,1100,Javelin Throw,23.0,1st Class,Female
35,Madara PALAMEIKA,18 JUN 1987,LAT,1100,Javelin Throw,35.0,1st Class,Female
36,Rhema OTABOR,03 DEC 2002,BAH,1099,Javelin Throw,20.0,1st Class,Female
37,Marija VUČENOVIĆ,03 APR 1993,SRB,1095,Javelin Throw,30.0,1st Class,Female
38,Viktoryia BAHUTSKAYA,18 JAN 1995,BLR,1093,Javelin Throw,28.0,1st Class,Female
39,Lea WIPPER,14 OCT 2001,GER,1087,Javelin Throw,21.0,1st Class,Female
40,Eda TUĞSUZ,27 MAR 1997,TUR,1081,Javelin Throw,26.0,1st Class,Female
41,Alizée MINARD,06 MAY 1997,FRA,1077,Javelin Throw,26.0,1st Class,Female
42,Yiselena BALLAR ROJAS,12 JAN 2003,CUB,1077,Javelin Throw,20.0,1st Class,Female
43,Jana Marie LOWKA,13 DEC 2000,GER,1070,Javelin Throw,22.0,1st Class,Female
44,Hanna HATSKO,03 OCT 1990,UKR,1069,Javelin Throw,32.0,1st Class,Female
45,Kathryn MITCHELL,10 JUL 1982,AUS,1064,Javelin Throw,40.0,1st Class,Female
46,Gedly TUGI,11 SEP 2001,EST,1063,Javelin Throw,21.0,1st Class,Female
48,Arantza MORENO,16 JAN 1995,ESP,1057,Javelin Throw,28.0,1st Class,Female
49,Lijuan GE,17 JUL 1997,CHN,1055,Javelin Throw,25.0,1st Class,Female
50,Sanne ERKKOLA,08 MAR 1994,FIN,1054,Javelin Throw,29.0,1st Class,Female
51,Martina PÍŠOVÁ,20 JUL 1994,CZE,1053,Javelin Throw,28.0,1st Class,Female
52,Yiset Magali JIMENEZ,19 APR 2000,COL,1051,Javelin Throw,23.0,1st Class,Female
53,Sara JEMAI,12 APR 1992,ITA,1050,Javelin Throw,31.0,1st Class,Female
54,Fanni KÖVÉR,15 FEB 2004,HUN,1050,Javelin Throw,19.0,1st Class,Female
55,Esra TÜRKMEN,20 JAN 2002,TUR,1049,Javelin Throw,21.0,1st Class,Female
56,Kihou KUZE,28 MAR 1995,JPN,1048,Javelin Throw,28.0,1st Class,Female
57,Momoko TSUJI,05 DEC 2003,JPN,1044,Javelin Throw,19.0,1st Class,Female
58,Bekah WALTON,20 SEP 1999,GBR,1043,Javelin Throw,23.0,1st Class,Female
59,Veronika ŠOKOTA,09 MAR 2004,CRO,1042,Javelin Throw,19.0,1st Class,Female
60,Luz Mariana CASTRO,23 JAN 1997,MEX,1040,Javelin Throw,26.0,1st Class,Female
61,Madison WILTROUT,04 JUN 1999,USA,1038,Javelin Throw,23.0,1st Class,Female
62,Shilpa RANI,15 JUN 1996,IND,1036,Javelin Throw,26.0,1st Class,Female
63,Dana BERGRATH,24 APR 1994,GER,1036,Javelin Throw,29.0,1st Class,Female
64,Petra ANDREJSKOVÁ,25 JUN 1992,CZE,1036,Javelin Throw,30.0,1st Class,Female
65,Reina KIMURA,07 SEP 2001,JPN,1035,Javelin Throw,21.0,1st Class,Female
66,Angéla MORAVCSIK,13 MAY 1996,HUN,1035,Javelin Throw,27.0,1st Class,Female
67,Manuela ROTUNDO,19 JUL 2004,URU,1033,Javelin Throw,18.0,1st Class,Female
68,Valentina BARRIOS,02 DEC 2003,COL,1032,Javelin Throw,19.0,1st Class,Female
69,Carolina VISCA,31 MAY 2000,ITA,1030,Javelin Throw,22.0,1st Class,Female
70,Mckyla VAN DER WESTHUIZEN,11 MAR 2004,RSA,1029,Javelin Throw,19.0,1st Class,Female
71,Christine WINKLER,04 MAY 1995,GER,1028,Javelin Throw,28.0,1st Class,Female
72,Ashton RINER,24 FEB 1999,USA,1027,Javelin Throw,24.0,1st Class,Female
73,Xinjie GU,02 FEB 2001,CHN,1027,Javelin Throw,22.0,1st Class,Female
74,Hanna KALINOUSKAYA,19 AUG 1999,BLR,1024,Javelin Throw,23.0,1st Class,Female
75,Julia VALTANEN,06 MAY 2001,FIN,1022,Javelin Throw,22.0,1st Class,Female
76,Yuka SATO,21 JUL 1992,JPN,1016,Javelin Throw,30.0,1st Class,Female
77,Anni-Linnea ALANEN,11 NOV 2002,FIN,1012,Javelin Throw,20.0,1st Class,Female
78,Jenni KANGAS,03 JUL 1992,FIN,1009,Javelin Throw,30.0,1st Class,Female
79,Gyeongae KIM,05 MAR 1988,KOR,1007,Javelin Throw,35.0,1st Class,Female
80,Xiaomei SUN,02 DEC 1996,CHN,1004,Javelin Throw,26.0,1st Class,Female
81,Lianna DAVIDSON,08 NOV 2002,AUS,1004,Javelin Throw,20.0,1st Class,Female
82,Ella VEDENEYEVA,30 NOV 1998,RUS,1000,Javelin Throw,24.0,1st Class,Female
83,Adjimon Pascaline ADANHOEGBE,19 OCT 1995,ITA,1000,Javelin Throw,27.0,1st Class,Female
84,Valeriya PUTILINA,23 APR 2002,RUS,1000,Javelin Throw,21.0,1st Class,Female
85,Sophia RIVERA,17 OCT 1998,PUR,999,Javelin Throw,24.0,1st Class,Female
86,Lisanne SCHOL,22 JUN 1991,NED,998,Javelin Throw,31.0,1st Class,Female
87,Sara ZABARINO,01 AUG 1999,ITA,997,Javelin Throw,23.0,1st Class,Female
88,Petra SIČAKOVÁ,14 APR 2003,CZE,996,Javelin Throw,20.0,1st Class,Female
89,Yuliya MAKEYEVA,05 NOV 2000,BLR,996,Javelin Throw,22.0,1st Class,Female
90,Indré JAKUBAITYTĖ,24 JAN 1976,LTU,994,Javelin Throw,47.0,1st Class,Female
91,Rebekah WALES,02 OCT 1995,USA,994,Javelin Throw,27.0,1st Class,Female
92,Claudia FERREIRA,03 OCT 1998,POR,993,Javelin Throw,24.0,1st Class,Female
93,Qianqian DAI,23 AUG 2000,CHN,993,Javelin Throw,22.0,1st Class,Female
94,Qiaohui GE,22 DEC 2000,CHN,993,Javelin Throw,22.0,1st Class,Female
95,Mayya BOGATYROVA,30 MAY 2000,RUS,992,Javelin Throw,22.0,1st Class,Female
96,Saara LIPSANEN,13 SEP 1995,FIN,992,Javelin Throw,27.0,1st Class,Female
97,Jatta-Mari JÄÄSKELÄINEN,27 FEB 1994,FIN,992,Javelin Throw,29.0,1st Class,Female
98,Lucija CVITANOVIĆ,17 SEP 1991,CRO,991,Javelin Throw,31.0,1st Class,Female
99,Laila FERRER,30 JUL 1982,BRA,990,Javelin Throw,40.0,1st Class,Female
100,Musharaf SAIDAKHMEDOVA,03 APR 1995,UZB,988,Javelin Throw,28.0,1st Class,Female
101,Paola PADOVAN,04 DEC 1995,ITA,986,Javelin Throw,27.0,2nd Class,Female
102,Sakura KAMEI,18 MAR 2001,JPN,986,Javelin Throw,22.0,2nd Class,Female
104,Afroditi MANIOU,19 AUG 1998,GRE,984,Javelin Throw,24.0,2nd Class,Female
105,Federica BOTTER,23 JAN 2001,ITA,983,Javelin Throw,22.0,2nd Class,Female
106,Margherita RANDAZZO,21 AUG 2002,ITA,979,Javelin Throw,20.0,2nd Class,Female
107,Nozomi SAKURAI,27 APR 2005,JPN,978,Javelin Throw,18.0,2nd Class,Female
108,Jingyi YIN,29 OCT 2002,CHN,977,Javelin Throw,20.0,2nd Class,Female
109,Nargiza KUCHKAROVA,27 FEB 1999,UZB,976,Javelin Throw,24.0,2nd Class,Female
110,Erika LUKACH,31 JAN 2002,UKR,976,Javelin Throw,21.0,2nd Class,Female
111,Emilia KARELL,30 MAR 2003,FIN,976,Javelin Throw,20.0,2nd Class,Female
112,Sigrid BORGE,03 DEC 1995,NOR,975,Javelin Throw,27.0,2nd Class,Female
113,Yu LIAO,18 MAY 2000,CHN,974,Javelin Throw,22.0,2nd Class,Female
114,Ayaka ISHIGAKI,29 JAN 2001,JPN,973,Javelin Throw,22.0,2nd Class,Female
115,Hui-Jun LI,12 MAY 1999,TPE,973,Javelin Throw,24.0,2nd Class,Female
116,Münevver HANCI,25 JAN 2001,TUR,972,Javelin Throw,22.0,2nd Class,Female
117,Aoi MURAKAMI,11 MAR 2004,JPN,968,Javelin Throw,19.0,2nd Class,Female
118,Emma WÖRSDÖRFER,22 SEP 1998,GER,968,Javelin Throw,24.0,2nd Class,Female
119,Riko NISHIMURA,01 NOV 1993,JPN,968,Javelin Throw,29.0,2nd Class,Female
120,Sayuka KURATA,22 MAY 2004,JPN,967,Javelin Throw,18.0,2nd Class,Female
121,Orie USHIRO,24 AUG 1990,JPN,966,Javelin Throw,32.0,2nd Class,Female
122,Akiho HYODO,29 OCT 1999,JPN,965,Javelin Throw,23.0,2nd Class,Female
123,Mackenzie MIELCZAREK,06 FEB 2003,AUS,965,Javelin Throw,20.0,2nd Class,Female
