Place,Competitor,DOB,Nat,Score,Event List
391,Jan jakub ČÁP,12 JUL 2004,CZE,869,Javelin Throw
392,Maciej TOPOLEWSKI,28 APR 1995,POL,869,Javelin Throw
393,Duncan ROBERTSON,06 MAR 2003,RSA,869,Javelin Throw
394,Norberto FONTANA,12 AUG 1998,ITA,868,Javelin Throw
395,João FERNANDES,30 APR 2005,POR,868,Javelin Throw
396,Liam MIKSIC,,USA,868,Javelin Throw
397,Simone BONFANTI,24 AUG 2000,ITA,868,Javelin Throw
398,Jarrett CHONG,2001,CAN,868,Javelin Throw
399,Mário MARQUES,19 JUN 1993,POR,867,Javelin Throw
400,Ali SOULTOINI,12 JUN 1979,FRA,867,Javelin Throw
401,Joseph DIDARIO,,USA,867,Javelin Throw
402,Lauro HERNANDEZ,06 JUN 2001,MEX,867,Javelin Throw
403,Greg POLOSO,,USA,865,Javelin Throw
404,Markus ROBBERTS,07 APR 2000,AUS,865,Javelin Throw
405,Reuben BOOYSEN,01 DEC 2003,RSA,865,Javelin Throw
406,Raffaele LETTERA,15 JAN 2003,ITA,864,Javelin Throw
407,Arthur DUDIT,11 NOV 1994,FRA,864,Javelin Throw
408,Cole CRKVENAC,,USA,863,Javelin Throw
409,Tiago APERTA,15 JAN 1992,POR,863,Javelin Throw
410,Cole STEWART,,USA,862,Javelin Throw
411,Yosuke KOTSUKA,09 DEC 2002,JPN,862,Javelin Throw
412,Jett KINDER,04 JUL 2001,USA,860,Javelin Throw
413,Nick HOWE,17 NOV 1989,USA,860,Javelin Throw
414,Elias NILSEN,19 JUL 2001,NOR,859,Javelin Throw
415,Borna KRAJINA,20 JUL 2003,CRO,859,Javelin Throw
416,Jakob Gal BLATNIK,02 OCT 2003,SLO,859,Javelin Throw
417,Leikel H. CABRERA,30 NOV 2004,CUB,858,Javelin Throw
418,Viktor ERTELT,21 AUG 2001,GER,857,Javelin Throw
419,Parker BROSIOUS,,USA,857,Javelin Throw
420,Florian WALTHER,01 MAR 2000,GER,857,Javelin Throw
421,Tao JIN,21 MAR 2005,CHN,856,Javelin Throw
422,Hiroki NIINOU,04 JUN 2002,JPN,856,Javelin Throw
423,Dalton ANDERSON,,USA,856,Javelin Throw
424,Abraham SARGENT,,USA,856,Javelin Throw
425,Julius HEIDELBERG,11 JUL 2001,GER,856,Javelin Throw
426,Kota TAKANO,08 SEP 2002,JPN,855,Javelin Throw
427,Alexander BETANCOURT,2006,CUB,855,Javelin Throw
428,Hiroki SAKAKIBARA,22 JUN 1990,JPN,855,Javelin Throw
429,Ken WATANABE,22 AUG 2001,JPN,855,Javelin Throw
430,Jared NEIGHBOURS,14 FEB 2000,NZL,854,Javelin Throw
431,Oleg BRASLAVSKIY,02 OCT 2004,RUS,854,Javelin Throw
432,Bram VAN DER REYSEN,16 AUG 1998,BEL,854,Javelin Throw
433,Mees PRINSEN,14 OCT 2001,NED,853,Javelin Throw
434,Ren TAKASUGA,10 JUN 2000,JPN,853,Javelin Throw
435,Sogo UEMURA,24 MAY 2002,JPN,853,Javelin Throw
436,Felix STRAUCH,2001,GER,853,Javelin Throw
437,Hodei OYANGUREN,20 JAN 1999,ESP,853,Javelin Throw
438,Matīss KAUDZE,27 MAR 2002,LAT,852,Javelin Throw
439,Lucio Claudio VISCA,23 SEP 2005,ITA,852,Javelin Throw
440,Tsuyoshi SAWADA,17 AUG 1996,JPN,850,Javelin Throw
441,Mauricio DE BRITO FILGUEIRAS,16 SEP 1994,BRA,849,Javelin Throw
442,Righardt STANDER,21 MAY 2004,RSA,849,Javelin Throw
443,Masaaki MICHIUE,17 DEC 1994,JPN,848,Javelin Throw
444,Taiga YOKOI,24 APR 2003,JPN,848,Javelin Throw
445,Vincent VAN DEN BOSCH,30 JUN 1989,BEL,848,Javelin Throw
446,Oliver WRIGHT,,GBR,848,Javelin Throw
447,Juha KARJUNEN,06 AUG 2003,FIN,847,Javelin Throw
448,Shion AZUMA,02 APR 2003,JPN,847,Javelin Throw
449,Maxime FRERET,13 JUL 1998,FRA,846,Javelin Throw
450,Cameron KUZIAK,2003,CAN,846,Javelin Throw
451,Marc ALIQUE,30 SEP 1996,ESP,845,Javelin Throw
452,Rikuto SUZUKI,20 NOV 2003,JPN,845,Javelin Throw
453,Ahti PEDER,29 AUG 1976,EST,845,Javelin Throw
454,Amine LABDI,23 AUG 2000,GER,845,Javelin Throw
455,Josh ANHALT,2004,GER,843,Javelin Throw
456,Clement RIEUX,23 SEP 1996,FRA,843,Javelin Throw
457,Arata YAKUSHIJI,16 APR 2004,JPN,842,Javelin Throw
458,Mikkel SIMONSEN,2002,DEN,841,Javelin Throw
459,Jack OLSEN,,USA,841,Javelin Throw
460,Kazuki OE,09 MAY 1996,JPN,841,Javelin Throw
461,Kaede TAKAHASHI,03 NOV 2001,JPN,841,Javelin Throw
462,David ROLLAND,1999,FRA,840,Javelin Throw
463,Jose Fernando FERREIRA SANTANA,27 MAR 1999,BRA,840,Javelin Throw
464,Giacomo MEDEOSSI,07 JUN 1997,ITA,840,Javelin Throw
465,Konrad KRUSCHE,29 MAR 2001,POL,840,Javelin Throw
466,Stellan BACK,19 MAY 1975,SWE,840,Javelin Throw
467,Aris-Nikolaos PERISTERIS,02 JAN 1998,GRE,839,Javelin Throw
468,Haotian HU,16 NOV 2002,CHN,839,Javelin Throw
469,Tyler BROWN,,USA,839,Javelin Throw
470,Kippei YOSHIMURA,09 JAN 2002,JPN,839,Javelin Throw
471,Antti VORNANEN,23 AUG 2000,FIN,838,Javelin Throw
472,Kakeru NAKAMURA,07 AUG 2002,JPN,838,Javelin Throw
473,Baptiste SAVARY,02 JAN 1995,FRA,838,Javelin Throw
474,Tommi Aslaksrud PASANEN,07 FEB 2004,NOR,837,Javelin Throw
475,Tuomas NÄRHI,29 NOV 2004,FIN,836,Javelin Throw
476,Jurgis DŽIAUGYS,18 JAN 2000,LTU,836,Javelin Throw
477,Kosuke SEINO,20 AUG 2004,JPN,835,Javelin Throw
478,Hubert GOELLER,28 JAN 1977,ITA,834,Javelin Throw
479,Andrey MARINOVICH,17 SEP 2000,BLR,833,Javelin Throw
480,Nikola BREKOVIĆ,08 JUN 1996,SRB,832,Javelin Throw
481,Lebron JAMES,27 JAN 2005,TTO,832,Javelin Throw
482,Nathyn MALLER,,USA,832,Javelin Throw
483,Jacob BOORD,,USA,831,Javelin Throw
484,Dorian CHARLES,2005,TTO,831,Javelin Throw
485,Nicolas YOYO,24 DEC 1991,FRA,831,Javelin Throw
486,Redford CURTIS,25 OCT 1996,GBR,830,Javelin Throw
487,Adam Sebastian HELCELET,27 OCT 1991,CZE,830,Javelin Throw
488,Hiroto KATAYAMA,24 JUL 2002,JPN,830,Javelin Throw
489,Kosuke NAKANISHI,01 MAR 2003,JPN,830,Javelin Throw
490,Mohammad Esmaeil ZAMANI,2005,IRI,830,Javelin Throw
491,Sebastien AUBERT,17 SEP 1997,FRA,830,Javelin Throw
492,Jhon Louis GARCIA DE JESUS,21 JUL 1999,ESP,829,Javelin Throw
493,David PROSKE,22 MAR 2004,CZE,829,Javelin Throw
494,Otto HIIVOLA,28 JUL 2004,FIN,829,Javelin Throw
495,Szabolcs NÉMETHY,13 FEB 2003,HUN,828,Javelin Throw
496,Tomonori MORISAWA,14 DEC 2005,JPN,826,Javelin Throw
497,Thibaud DUTREY,13 FEB 2000,FRA,826,Javelin Throw
498,Kazuhisa MATSUSHIMA,27 FEB 2001,JPN,826,Javelin Throw
499,Shota KOMATSU,11 OCT 2002,JPN,826,Javelin Throw
500,Martin JANCSIK,06 JAN 2004,HUN,826,Javelin Throw
