Place,Competitor,DOB,Nat,Score,Event List
394,Karla SCHÄRFE,05 FEB 2003,DEN,786,Javelin Throw
395,Ki Sum NG,24 SEP 1996,HKG,786,Javelin Throw
396,Janice MAY,25 FEB 2002,FRA,786,Javelin Throw
397,Pilke KÖSSI,27 NOV 2001,FIN,785,Javelin Throw
398,Alexandria WEBB,2002,CAN,785,Javelin Throw
399,Sanni NOKELAINEN,10 FEB 1999,FIN,785,Javelin Throw
400,Laura SCHÜTZ,23 MAR 2003,GER,785,Javelin Throw
401,Anastasia NTRAGKOMIROVA,22 JAN 2003,GRE,784,Javelin Throw
402,Natalia JASINSKA,03 OCT 2004,POL,784,Javelin Throw
403,Kyoko SUZUKI,28 JUN 2005,JPN,784,Javelin Throw
404,Beata SKRABA,20 JUN 1988,POL,784,Javelin Throw
405,Samantha SUNNARBORG,,USA,784,Javelin Throw
406,Magdaléna HELLMAYEROVÁ,09 FEB 2005,CZE,783,Javelin Throw
407,Medine AMOCA,16 APR 2004,TUR,783,Javelin Throw
408,Antonia FRANZKE,26 JAN 2004,GER,783,Javelin Throw
409,Audrey FRIEDMAN,,USA,783,Javelin Throw
410,Elise Hoel ULSETH,23 DEC 1999,NOR,782,Javelin Throw
411,Jennifer BUCKEL,18 MAR 2000,GER,782,Javelin Throw
412,Luisa FISCHER,2002,GER,782,Javelin Throw
413,Elisa BRACCINI,2002,ITA,782,Javelin Throw
414,Amanda RASK,02 DEC 2002,SWE,782,Javelin Throw
415,Hana FUJITA,27 SEP 2005,JPN,781,Javelin Throw
416,Cecile BOGLIOLO,10 SEP 2002,FRA,781,Javelin Throw
417,Sarah DEQUINAN,22 DEC 1992,PHI,781,Javelin Throw
418,Marysa FLIEG,2003,USA,781,Javelin Throw
419,Ulrike SCHMIDT,22 MAY 2004,GER,780,Javelin Throw
420,Elva VESTARTA,08 DEC 2003,LAT,780,Javelin Throw
421,Yuliya LOBAN,07 AUG 2000,UKR,780,Javelin Throw
422,Sydney HOLLERING,03 AUG 2001,GER,779,Javelin Throw
423,Lydia BOLL,01 DEC 1999,SUI,779,Javelin Throw
424,Molly OLSON,,USA,778,Javelin Throw
425,Manaka KIKUCHI,08 MAY 2001,JPN,778,Javelin Throw
426,Kali GRAYSON,,USA,776,Javelin Throw
427,Žana SOVDAT,08 JUN 2004,SLO,776,Javelin Throw
428,Grace DIELEMAN,,USA,776,Javelin Throw
429,Violetta OVCHINNIKOVA,25 FEB 2004,RUS,775,Javelin Throw
430,Josephine KROHN,,USA,775,Javelin Throw
431,Lillian WYCKOFF,,USA,774,Javelin Throw
432,Angel RICHMORE,30 APR 2001,SWE,774,Javelin Throw
433,Djamilliah PAEPKE-CHILE,,USA,774,Javelin Throw
434,Katie CUNEO,,USA,774,Javelin Throw
435,Atsuki KUBO,18 MAR 2003,JPN,774,Javelin Throw
436,Nanaka KAJIKI,07 DEC 2000,JPN,773,Javelin Throw
437,Laurel BRISTOW,,USA,773,Javelin Throw
438,Mahiro SUZUKI,13 DEC 2000,JPN,773,Javelin Throw
439,Mayu ONO,27 NOV 2005,JPN,773,Javelin Throw
440,Sabrina REUSCH,17 NOV 1998,GER,773,Javelin Throw
441,Kaylee CLARK,2003,CAN,772,Javelin Throw
442,Brekell GAMMELL,,USA,772,Javelin Throw
443,Jae-eun KWON,23 AUG 2001,KOR,772,Javelin Throw
444,Imogen BEARD,03 MAY 1998,NED,771,Javelin Throw
445,Elizabeth MORLAND,03 MAR 1998,IRL,771,Javelin Throw
446,Marion BOUIN,26 OCT 2003,FRA,771,Javelin Throw
447,Mio HOSOGAI,26 APR 2005,JPN,771,Javelin Throw
448,Vanessa Valentina ORIAKU,25 MAR 2005,ROU,770,Javelin Throw
449,Eva DURAND,18 JUL 2004,GBR,770,Javelin Throw
450,Sienna MACDONALD,2002,CAN,770,Javelin Throw
451,Caroline BREDSTEN HENRIKSEN,1998,DEN,770,Javelin Throw
452,Tika SUGIMOTO,15 SEP 1998,JPN,770,Javelin Throw
453,Thaila WILSON,29 MAY 2001,JAM,769,Javelin Throw
454,Camille VAN DE BRUG,20 SEP 2000,NED,769,Javelin Throw
455,Melanie RICHARD,17 JAN 1997,SUI,769,Javelin Throw
456,Jasmine LARSEN,,GBR,768,Javelin Throw
457,Karolína KREJČÍ,20 AUG 2003,CZE,768,Javelin Throw
458,Hana HÁJKOVÁ,06 APR 2002,CZE,768,Javelin Throw
459,Natalie HOLMER,,USA,767,Javelin Throw
460,Rebecca LJUNG,07 FEB 1996,FIN,767,Javelin Throw
461,Marta FARIA,30 JUL 2004,POR,767,Javelin Throw
462,Taylor KESNER,11 NOV 2002,USA,766,Javelin Throw
463,Yekaterina FEDOTOVA,28 FEB 2005,RUS,766,Javelin Throw
464,Jinte KREUGEL,2006,NED,766,Javelin Throw
465,Avery DECKER,,USA,766,Javelin Throw
466,Michaela TREGLEROVÁ,14 SEP 1999,CZE,766,Javelin Throw
467,Mathilde REY,29 MAR 2000,SUI,765,Javelin Throw
468,George KAESHA,,USA,765,Javelin Throw
469,Claudia LEGGE,20 SEP 2004,AUS,765,Javelin Throw
470,Emily POOLE,,USA,765,Javelin Throw
471,Gaia RUGGERI,2000,ITA,764,Javelin Throw
472,Veera MATINTALO,23 SEP 2000,FIN,764,Javelin Throw
473,Jennifer VOGT,27 MAR 1985,GER,763,Javelin Throw
474,Tsz Yan MA,,HKG,762,Javelin Throw
475,Tihiro ASADA,01 DEC 2005,JPN,762,Javelin Throw
476,Tina VAUPOT,14 JAN 1997,SLO,762,Javelin Throw
477,Kano SHIRAISHI,22 MAR 2003,JPN,762,Javelin Throw
478,Stella BERSANI,2004,ITA,761,Javelin Throw
479,Myke VAN DE WIEL,04 JUN 1997,NED,761,Javelin Throw
480,Kayla IVEN,20 FEB 2002,BEL,760,Javelin Throw
481,Eloise MEAKINS,26 JAN 1993,GBR,760,Javelin Throw
482,Olivia MORGAN,22 JUN 2000,USA,759,Javelin Throw
483,Eun-hwan YOON,18 AUG 2006,KOR,759,Javelin Throw
484,Nina REINCKE,24 FEB 2004,GER,758,Javelin Throw
485,Zofia LEHEW,,USA,758,Javelin Throw
486,Olivia BARR,SEP 2008,USA,758,Javelin Throw
487,Delia FRAVEZZI,06 SEP 1998,ITA,758,Javelin Throw
488,Eva REMEŠOVÁ,17 MAR 2004,CZE,758,Javelin Throw
489,Madison TARESKI,,USA,757,Javelin Throw
490,Lorena Emanuelle GARCIA,26 FEB 2003,BRA,757,Javelin Throw
491,Furi KATSUMI,04 APR 2005,JPN,756,Javelin Throw
492,Ludovica GIANNURSINI,05 FEB 2002,ITA,756,Javelin Throw
493,Agathe FERRARI,05 FEB 2002,FRA,756,Javelin Throw
494,Wakana YAMASHITA,30 JAN 2003,JPN,755,Javelin Throw
495,Kendall MARTIN,,USA,755,Javelin Throw
496,Yu-bin CHOI,06 NOV 2005,KOR,755,Javelin Throw
497,Saga KURUNMÄKI,05 JAN 2003,FIN,755,Javelin Throw
498,Yasmin WILKE,05 JAN 2003,GER,754,Javelin Throw
499,Júlia HANULIAKOVÁ,16 MAY 2000,SVK,754,Javelin Throw
500,Wiebke OELGARDT,29 JUL 2001,GER,754,Javelin Throw
